ID_Funcionario,Nome,Departamento,Cargo,Salario,Data_Contratacao,Genero,Idade,Nivel_Educacao,Avaliacao_Desempenho,Satisfacao_Trabalho,Horas_Treinamento,Status_Turnover,Distancia_Casa_Trabalho_KM,Fez_Hora_Extra
EMP_1001,Funcionário 1,Operações,Supervisor,"R$ 7506,00",24/02/2016,Masculino,56,Graduação,4.0,,29,Ativo,36,Sim
EMP_1002,Funcionário 2,Operações,Logística,"R$ 9873,00",27/01/2015,Outro,32,Ensino Médio,3.0,2.0,11,Desligado,7,Não
EMP_1003,Funcionário 3,TI,Arquiteto de Soluções,"R$ 3711,00",31/03/2019,Feminino,40,Ensino Médio,5.0,3.0,5,Ativo,50,Não
EMP_1004,Funcionário 4,Recursos Humanos,Analista de RH,"R$ 9227,00",03/02/2019,Feminino,44,Doutorado,3.0,1.0,93,Ativo,11,Não
EMP_1005,Funcionário 5,Marketing,Social Media,"R$ 13485,00",21/08/2018,Outro,25,Ensino Médio,1.0,4.0,27,Desligado,14,Não
EMP_1006,Funcionário 6,Marketing,Designer,"R$ 7339,00",16/01/2021,Feminino,59,Doutorado,5.0,2.0,63,Ativo,49,Sim
EMP_1007,Funcionário 7,Recursos Humanos,Analista de RH,"R$ 14149,00",13/04/2019,Masculino,51,Doutorado,5.0,1.0,96,Desligado,50,Não
EMP_1008,Funcionário 8,Recursos Humanos,Gerente de RH,10433,26/01/2023,Feminino,54,Graduação,5.0,3.0,47,Ativo,35,Sim
EMP_1009,Funcionário 9,Financeiro,Contador,"R$ 4832,00",13/06/2018,Não informado,37,Ensino Médio,1.0,,97,Ativo,9,Não
EMP_1010,Funcionário 10,Financeiro,Analista Financeiro,"R$ 12938,00",17/01/2021,Não informado,-5,Doutorado,4.0,3.0,57,Ativo,16,Sim
EMP_1011,Funcionário 11,Recursso Humanos,Gerente de RH,"R$ 12075,00",18/10/2015,Feminino,25,Pós-Graduação,1.0,1.0,85,Desligado,14,Sim
EMP_1012,Funcionário 12,Operações,Logística,"R$ 6981,00",18/02/2017,Masculino,49,Ensino Médio,4.0,1.0,51,Desligado,7,Sim
EMP_1013,Funcionário 13,Vendas,Consultor de Vendas,"R$ 5296,00",20/10/2017,Masculino,26,Ensino Médio,5.0,,96,Ativo,11,Não
EMP_1014,Funcionário 14,Marketing,Social Media,"R$ 9570,00",09/01/2015,Não informado,38,Graduação,4.0,5.0,24,Desligado,14,Sim
EMP_1015,Funcionário 15,Financeiro,Tesoureiro,8138,21/08/2020,Feminino,55,Ensino Médio,5.0,,76,Ativo,44,Sim
EMP_1016,Funcionário 16,Marketing,Analista de Marketing,"R$ 12333,00",11/12/2021,Outro,59,Graduação,3.0,2.0,33,Desligado,9,Não
EMP_1017,Funcionário 17,Marketing,Social Media,4188,25/04/2021,Masculino,26,Graduação,5.0,3.0,47,Desligado,11,Não
EMP_1018,Funcionário 18,Financeiro,Tesoureiro,"R$ 13714,00",21/03/2021,Feminino,28,Pós-Graduação,2.0,1.0,36,Ativo,46,Não
EMP_1019,Funcionário 19,Vendas,SDR,"R$ 7325,00",28/07/2015,Feminino,49,Pós-Graduação,1.0,,20,Desligado,36,Não
EMP_1020,Funcionário 20,Financeiro,Analista Financeiro,"R$ 14321,00",21/02/2019,Outro,31,Graduação,1.0,1.0,87,Ativo,43,Sim
EMP_1021,Funcionário 21,TI,Arquiteto de Soluções,"R$ 9658,00",27/08/2017,Não informado,33,Graduação,1.0,3.0,34,Ativo,45,Sim
EMP_1022,Funcionário 22,Marketing,Analista de Marketing,"R$ 6644,00",03/12/2018,Masculino,36,Pós-Graduação,2.0,3.0,44,Desligado,44,Não
EMP_1023,Funcionário 23,Recursos Humanos,Analista de RH,"R$ 7279,00",2017-12-23,Masculino,60,Mestrado,3.0,5.0,73,Ativo,17,Sim
EMP_1024,Funcionário 24,Operações,Operador,"R$ 11821,00",07/04/2023,Outro,45,Doutorado,3.0,1.0,39,Desligado,21,Não
EMP_1025,Funcionário 25,Operações,Operador,"R$ 6143,00",06/08/2022,Outro,33,Pós-Graduação,3.0,1.0,26,Desligado,38,Não
EMP_1026,Funcionário 26,Marketing,Social Media,"R$ 6501,00",05/12/2023,Outro,27,Graduação,5.0,2.0,25,Ativo,2,Sim
EMP_1027,Funcionário 27,Vendas,Gerente de Vendas,"R$ 4193,00",15/06/2021,Masculino,46,Mestrado,2.0,1.0,28,Ativo,45,Não
EMP_1028,Funcionário 28,Recursos Humanos,Assistente,"R$ 4988,00",27/06/2022,Não informado,57,Doutorado,4.0,5.0,57,Ativo,48,Não
EMP_1029,Funcionário 29,Marketing,Social Media,"R$ 13447,00",07/06/2020,Outro,39,Doutorado,3.0,3.0,10,Ativo,10,Sim
EMP_1030,Funcionário 30,Marketing,Designer,6505,31/01/2021,Masculino,25,Doutorado,4.0,5.0,48,Desligado,1,Não
EMP_1031,Funcionário 31,TI,Suporte Técnico,"R$ 9865,00",21/12/2023,Não informado,36,Pós-Graduação,3.0,1.0,85,Desligado,47,Sim
EMP_1032,Funcionário 32,Marketing,Analista de Marketing,11751,30/04/2021,Masculino,27,Pós-Graduação,2.0,2.0,48,Desligado,14,Não
EMP_1033,Funcionário 33,TI,Suporte Técnico,"R$ 9211,00",23/09/2019,Outro,27,Graduação,5.0,,83,Ativo,50,Sim
EMP_1034,Funcionário 34,Recursos Humanos,Analista de RH,"R$ 3333,00",23/04/2020,Feminino,58,Doutorado,4.0,3.0,77,Ativo,50,Sim
EMP_1035,Funcionário 35,TI,Desenvolvedor,"R$ 8111,00",18/03/2019,Masculino,34,Pós-Graduação,,2.0,87,Ativo,37,Sim
EMP_1036,Funcionário 36,TI,Arquiteto de Soluções,9071,21/02/2015,Feminino,53,Mestrado,3.0,4.0,22,Desligado,40,Não
